Number_of_Customers_Per_Day,Operating_Hours_Per_Day,Number_of_Employees,Location_Foot_Traffic,Date,Branch,Region,Average_Order_Value_KES,Marketing_Spend_KES,Daily_Revenue_KES
152,14,4,97,01/01/2019,Kisumu Mega City,Western,909.9,14393.7,208954.35
485,12,8,744,02/01/2019,Thika Road Mall,Nairobi,607.5,7807.05,281431.8
398,6,6,636,03/01/2019,JKIA Arrival,Nairobi,1227.15,12387.6,420982.65
320,17,4,770,04/01/2019,Kimathi Street,Nairobi CBD,1144.8,62455.05,393147
156,17,2,232,05/01/2019,Kimathi Street,Nairobi CBD,1004.4,55690.2,224561.7
121,6,9,484,06/01/2019,Nyali Centre,Coast,1198.8,24771.15,155949.3
238,11,4,156,07/01/2019,Galleria Mall,Nairobi,1215,44732.25,294182.55
70,10,3,237,08/01/2019,Nyali Centre,Coast,1054.35,36891.45,120172.95
152,14,2,825,09/01/2019,Nyali Centre,Coast,1185.3,46141.65,230166.9
171,7,5,135,10/01/2019,Valley Arcade,Nairobi,1043.55,46508.85,273449.25
264,13,14,885,11/01/2019,Capital Centre,Nairobi,1026,42940.8,283454.1
380,16,9,892,12/01/2019,Valley Arcade,Nairobi,963.9,18952.65,346804.2
137,10,14,505,13/01/2019,Kisumu Mega City,Western,1100.25,3929.85,184555.8
422,7,4,186,14/01/2019,Nyali Centre,Coast,498.15,31486.05,245297.7
149,15,2,907,15/01/2019,Kimathi Street,Nairobi CBD,1229.85,60288.3,230462.55
409,16,5,947,16/01/2019,Thika Road Mall,Nairobi,1220.4,39021.75,488463.75
201,16,10,385,17/01/2019,Galleria Mall,Nairobi,367.2,56412.45,118262.7
180,17,14,656,18/01/2019,Thika Road Mall,Nairobi,1173.15,66946.5,292555.8
199,11,2,887,19/01/2019,Galleria Mall,Nairobi,468.45,12172.95,129999.6
358,15,13,806,20/01/2019,Thika Road Mall,Nairobi,676.35,47110.95,332621.1
307,13,12,518,21/01/2019,Kisumu Mega City,Western,1090.8,45954,330189.75
393,9,3,651,22/01/2019,Thika Road Mall,Nairobi,500.85,66174.3,299878.2
463,7,10,620,23/01/2019,Kimathi Street,Nairobi CBD,1165.05,66546.9,589732.65
343,17,3,452,24/01/2019,Galleria Mall,Nairobi,1179.9,46773.45,427323.6
435,16,14,589,25/01/2019,JKIA Arrival,Nairobi,851.85,17464.95,348428.25
241,10,4,121,26/01/2019,Nyali Centre,Coast,344.25,54174.15,104063.4
493,17,8,831,27/01/2019,Kisumu Mega City,Western,627.75,8429.4,308402.1
326,7,4,73,28/01/2019,Nyali Centre,Coast,962.55,52992.9,326292.3
210,7,10,673,29/01/2019,Thika Road Mall,Nairobi,1331.1,61560,323716.5
363,11,7,861,30/01/2019,Nyali Centre,Coast,977.4,26674.65,370614.15
71,16,4,534,31/01/2019,Capital Centre,Nairobi,600.75,43066.35,53937.9
302,15,10,105,01/02/2019,Capital Centre,Nairobi,980.1,29803.95,275435.1
